X,Y,id,schoolname,score,num_fixtures,zip
-87.598114,41.77813,462,U Of C - Woodlawn Hs,0.0,18.0,60637
-87.652473,41.965547,463,Uplift Hs,0.0,36.0,60640
-87.665559,41.720817,464,Vanderpoel,0.0,11.0,60643
-87.764663,41.960364,465,Vaughn Hs,0.0,12.0,60641
-87.685677,41.688191,466,Vick,0.0,6.0,60655
-87.724605,41.971634,467,Volta,0.0,22.0,60625
-87.702635,41.940009,468,Von Linne,0.0,14.0,60618
-87.713386,41.973185,469,Von Steuben Hs,0.0489795918367347,35.0,60625
-87.648044,41.716193,470,Wacker,0.0,11.0,60643
-87.601018,41.773478,471,Wadsworth,0.0,18.0,60637
-87.648086,41.854836,472,Walsh,0.0,21.0,60608
-87.635356,41.84398,473,Ward J,0.0,7.0,60616
-87.718797,41.893236,474,Ward L,0.0,16.0,60624
-87.575353,41.726763,475,Warren,0.03333333333333333,6.0,60617
-87.596257,41.728534,476,Washington H Es,0.0,4.0,60619
-87.536015,41.688131,477,Washington G,0.04444444444444445,18.0,60617
-87.53757,41.688137,478,Washington Hs,0.02666666666666667,30.0,60617
-87.691333,41.964365,479,Waters,0.0,16.0,60625
-87.727524,41.869916,480,Webster,0.0,5.0,60624
-87.61978,41.827355,481,Wells Es,0.08333333333333333,12.0,60653
-87.667483,41.898995,482,Wells Hs,0.02553191489361702,47.0,60622
-87.658205,41.765076,483,Wentworth,0.175,16.0,60636
-87.634751,41.748868,484,Westcott,0.0,6.0,60620
-87.707332,41.889977,485,Westinghouse Hs,0.006896551724137932,29.0,60624
-87.732443,41.906907,486,West Park,0.0071428571428571435,28.0,60651
-87.705917,42.002959,487,West Ridge,0.00625,32.0,60645
-87.655384,41.683907,488,Whistler,0.0,13.0,60643
-87.650539,41.672309,489,White,0.0,11.0,60643
-87.725546,41.84008,490,Whitney,0.0,24.0,60623
-87.673392,41.850481,491,Whittier,0.0,11.0,60608
-87.778345,42.007491,492,Wildwood,0.0,18.0,60646
-87.62503,41.806118,493,Williams Hs,0.004878048780487805,41.0,60615
-87.594392,41.773366,494,Woodlawn,0.08888888888888889,9.0,60637
-87.608419,41.814499,495,Woodson,0.008080808080808079,33.0,60653
-87.735292,41.834397,496,World Language Hs,0.010810810810810813,37.0,60623
-87.70028,41.915039,497,Yates,0.0,45.0,60647
-87.767143,41.906791,498,Young Es,0.006060606060606061,33.0,60651
-87.664233,41.878603,499,Young Hs,0.0391304347826087,46.0,60607
-87.618724,41.844544,500,Young Womens Hs,0.0,9.0,60616
-87.734313,41.841394,501,Zapata,0.006277056277056278,22.0,60623
-87.568228,41.733338,502,Hoyne,,,60617
-87.724661,41.878799,503,Melody,,,60624
-87.621746,41.77162,504,Brownell,,,60637
-87.723931,41.914816,505,Mcauliffe,,,60647
-87.704619,42.009289,506,Decatur,,,60645
-87.709287,41.861174,507,Kipp Chicago - Ascend Primary,,,60623
-87.677763,42.017088,508,Jordan,,,60626
-87.749276,41.873587,509,Leland,,,60644
-87.761916,41.885993,510,Voise Hs,,,60644
-87.714234,41.904503,511,Casals,,,60651
-87.625004,41.805204,512,Bronzeville Hs,,,60615
-87.724783,41.940026,513,Lorca,,,60618
-87.576643,41.729692,514,Black,,,60617
-87.685607,41.801659,515,Christopher,,,60632
-87.606419,41.70263,516,Poe,,,60628
